complex_area,sch_code,sch_name,url,ProbableSuffix
Campbell-Kapolei,282,Kapolei Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/282SSIR-3.pdf,3
Pearl City-Waipahu,283,Kanoelani Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/283SSIR-3.pdf,3
Pearl City-Waipahu,285,Momilani Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/285SSIR-3.pdf,3
Campbell-Kapolei,286,Mauka Lani Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/286SSIR-3.pdf,3
Pearl City-Waipahu,287,Kaleiopuu Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/287SSIR-3.pdf,3
Pearl City-Waipahu,288,Waiau Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/288SSIR-3.pdf,3
Pearl City-Waipahu,290,Waikele Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/290SSIR-3.pdf,3
Campbell-Kapolei,291,Kapolei Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/291SSIR-3.pdf,3
Campbell-Kapolei,292,Kapolei High School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/292SSIR-3.pdf,3
Campbell-Kapolei,293,Hookele Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/293SSIR-3.pdf,3
Campbell-Kapolei,294,Keoneula Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/294SSIR-3.pdf,3
Campbell-Kapolei,296,Ewa Makai Middle School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/296SSIR-3.pdf,3
Kailua-Kalaheo,300,Aikahi Elem School,https://arch-prod-reports-repository.s3-us-west-1.amazonaws.com/ssir/2020/300SSIR-4.pdf,4
